Rank,Production,State,Category
1,7945800,São Paulo (SP),Alta
2,6783111,Mato Grosso do Sul (MS),Alta
3,5809860,São Paulo (SP),Alta
4,5800000,São Paulo (SP),Alta
5,4805200,São Paulo (SP),Alta
6,4800000,São Paulo (SP),Alta
7,4370000,Minas Gerais (MG),Alta
8,4190490,São Paulo (SP),Alta
9,4165000,São Paulo (SP),Alta
10,4050000,São Paulo (SP),Alta
11,3840000,Minas Gerais (MG),Média
12,3760000,São Paulo (SP),Média
13,3715200,Goiás (GO),Média
14,3697000,Rio de Janeiro (RJ),Média
15,3571300,São Paulo (SP),Média
16,3527500,São Paulo (SP),Média
17,3521970,São Paulo (SP),Média
18,3471000,São Paulo (SP),Média
19,3400000,São Paulo (SP),Média
20,3384000,São Paulo (SP),Média
21,3360000,São Paulo (SP),Baixa
22,3320000,São Paulo (SP),Baixa
23,3264399,Mato Grosso (MT),Baixa
24,3210240,São Paulo (SP),Baixa
25,3207600,Goiás (GO),Baixa
26,3154840,São Paulo (SP),Baixa
27,3049050,São Paulo (SP),Baixa
28,3029804,Alagoas (AL),Baixa
29,2998650,São Paulo (SP),Baixa
30,2952849,Mato Grosso do Sul (MS),Baixa
